Row ID,Order ID,Order Date,Ship Date,Month ,Season,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Quantity,Sub-Category,Product Name,Net Sales
34,36493919,10/3/2017,10/5/2017,October,Summer,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,1,Art,Lumber Crayons,15.76
35,78647689,12/19/2016,12/21/2016,December,Fall,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,45,Paper,Easy-staple paper,29.472
36,61610217,5/21/2019,5/23/2019,May,Summer,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,2,Phones,GE 30524EE4,1097.544
37,65251054,12/22/2016,12/24/2016,December,Spring,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,30,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92
38,23585198,12/16/2016,12/18/2016,December,Fall,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,22,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328
39,38172645,12/17/2019,12/19/2019,December,Fall,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,30,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992
40,58439605,3/4/2017,3/6/2017,March,Fall,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,27,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058
41,70467804,9/29/2017,10/1/2017,October,Fall,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,17,Phones,Plantronics HL10 Handset Lifter,371.168
42,56844928,11/8/2017,11/10/2017,November,Fall,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,14,Phones,Panasonic Kx-TS550,147.168
43,92048646,10/17/2018,10/19/2018,October,Summer,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,49,Storage,"Eldon Base for stackable storage shelf, platinum",77.88
44,89748224,4/2/2017,4/4/2017,April,Fall,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,46,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616
45,64229557,8/6/2017,8/8/2017,August,Fall,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,12,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98
46,40391622,3/26/2017,3/28/2017,March,Spring,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,1,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46
47,35845886,5/4/2019,5/6/2019,May,Spring,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,35,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96
48,65247795,12/25/2017,12/27/2017,December,Summer,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,19,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45
49,13877204,8/26/2018,8/28/2018,August,Summer,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,20,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8
50,80307571,4/27/2019,4/29/2019,April,Spring,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,27,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22
51,80331435,3/17/2019,3/19/2019,March,Fall,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,42,Labels,Avery 485,75.18
52,12284813,7/7/2019,7/9/2019,July,Spring,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,5,Furnishings,Longer-Life Soft White Bulbs,6.16
53,12799985,3/24/2019,3/26/2019,March,Summer,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,9,Chairs,"Global Leather Task Chair, Black",89.99
54,71680370,11/10/2017,11/12/2017,November,Fall,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,20,Fasteners,Advantus Push Pins,15.26
55,45019276,5/10/2019,5/12/2019,May,Summer,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,28,Phones,AT&T CL83451 4-Handset Telephone,1029.95
56,80942277,2/22/2018,2/24/2018,February,Fall,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,7,Storage,Home/Office Personal File Carts,208.56
57,80824135,4/13/2018,4/15/2018,April,Summer,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,24,Paper,Xerox 232,32.4
58,30075271,10/4/2016,10/6/2016,October,Fall,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,8,Chairs,Novimex Turbo Task Chair,319.41
59,81621051,8/28/2018,8/30/2018,August,Spring,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,50,Paper,"Array Parchment Paper, Assorted Colors",14.56
60,42003177,4/15/2017,4/17/2017,April,Fall,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,24,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30
61,70552509,11/5/2019,11/7/2019,November,Fall,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,1,Binders,Plastic Binding Combs,48.48
62,20628722,12/4/2016,12/6/2016,December,Summer,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,41,Art,Prang Dustless Chalk Sticks,1.68
63,18676712,11/17/2018,11/19/2018,November,Spring,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,49,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98
64,84145541,2/23/2019,2/25/2019,February,Fall,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,33,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824
65,58882829,6/5/2018,6/7/2018,June,Fall,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,5,Paper,Xerox 1943,146.73
66,93545748,7/24/2018,7/26/2018,July,Spring,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,21,Furnishings,Luxo Economy Swing Arm Lamp,79.76
67,14110340,6/26/2017,6/28/2017,June,Fall,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,28,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115
68,74028016,7/12/2016,7/14/2016,July,Fall,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,44,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024
69,75584804,4/1/2019,4/3/2019,April,Fall,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,42,Phones,netTALK DUO VoIP Telephone Service,167.968
70,48338025,7/10/2018,7/12/2018,July,Fall,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,26,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88
71,14046264,2/17/2018,2/19/2018,February,Fall,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,49,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616
72,36558614,6/29/2017,7/1/2017,July,Spring,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,23,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05
73,74963620,10/2/2018,10/4/2018,October,Spring,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,35,Chairs,High-Back Leather Manager's Chair,831.936
74,38051652,11/17/2017,11/19/2017,November,Summer,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,27,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04
75,90017814,2/22/2019,2/24/2019,February,Fall,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,OFF-ST-10004123,Office Supplies,22,Storage,Safco Industrial Wire Shelving System,72.784
76,23705240,2/19/2019,2/21/2019,February,Spring,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,42,Binders,Economy Binders,1.248
77,63755190,6/12/2018,6/14/2018,June,Fall,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,FUR-FU-10000260,Furniture,41,Furnishings,"6"" Cubicle Wall Clock, Black",9.708
78,94995329,1/6/2017,1/8/2017,January,Fall,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-ST-10000615,Office Supplies,34,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24
79,44291412,11/28/2017,11/30/2017,November,Summer,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,46,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3
80,56539131,3/27/2018,3/29/2018,March,Spring,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,31,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16
81,11894922,1/30/2017,2/1/2017,February,Fall,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-BI-10002309,Office Supplies,36,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74
82,96954934,4/1/2017,4/3/2017,April,Summer,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-AR-10002053,Office Supplies,4,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9
83,68743426,10/7/2018,10/9/2018,October,Summer,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-ST-10002370,Office Supplies,14,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39
84,61219388,8/10/2019,8/12/2019,August,Spring,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,OFF-EN-10000927,Office Supplies,20,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984
85,95820364,11/25/2018,11/27/2018,November,Summer,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,OFF-ST-10003656,Office Supplies,3,Storage,Safco Industrial Wire Shelving,230.376
86,11396428,8/9/2017,8/11/2017,August,Summer,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,FUR-CH-10000863,Furniture,26,Chairs,Novimex Swivel Fabric Task Chair,301.96
87,58493155,2/23/2017,2/25/2017,February,Spring,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,19,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99
88,17018478,2/18/2016,2/20/2016,February,Spring,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,OFF-LA-10000134,Office Supplies,20,Labels,Avery 511,6.16
89,21588407,9/19/2018,9/21/2018,September,Summer,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,OFF-ST-10003442,Office Supplies,36,Storage,Eldon Portable Mobile Manager,158.368
90,13833753,3/26/2017,3/28/2017,March,Fall,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,OFF-AR-10004930,Office Supplies,46,Art,Turquoise Lead Holder with Pocket Clip,20.1
91,83062449,6/16/2018,6/18/2018,June,Fall,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,TEC-PH-10004093,Technology,19,Phones,Panasonic Kx-TS550,73.584
92,54215501,6/8/2019,6/10/2019,June,Spring,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,OFF-PA-10000304,Office Supplies,23,Paper,Xerox 1995,6.48
93,94389934,3/7/2016,3/9/2016,March,Fall,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,Office Supplies,36,Paper,Xerox 1999,12.96
94,18740513,2/4/2017,2/6/2017,February,Fall,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,FUR-FU-10003799,Furniture,30,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34
95,27353975,9/11/2019,9/13/2019,September,Fall,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-BI-10002852,Office Supplies,8,Binders,Ibico Standard Transparent Covers,32.96
96,72021073,8/13/2016,8/15/2016,August,Fall,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,97206,West,OFF-BI-10004738,Office Supplies,38,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682
97,86422756,12/12/2016,12/14/2016,December,Summer,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City,New York,10009,East,FUR-FU-10000629,Furniture,20,Furnishings,9-3/4 Diameter Round Wall Clock,96.53
98,60021075,5/19/2017,5/21/2017,May,Fall,First Class,KD-16345,Katherine Ducich,Consumer,United States,San Francisco,California,94122,West,OFF-BI-10001721,Office Supplies,2,Binders,Trimflex Flexible Post Binders,51.312
99,89991420,1/10/2016,1/12/2016,January,Summer,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,55106,Central,OFF-AP-10000358,Office Supplies,8,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88
100,54169110,7/3/2018,7/5/2018,July,Spring,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,OFF-PA-10003256,Office Supplies,27,Paper,Avery Personal Creations Heavyweight Cards,64.624
101,84015564,7/7/2018,7/9/2018,July,Fall,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,TEC-AC-10001767,Technology,19,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976
102,51538957,5/1/2019,5/3/2019,May,Summer,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,OFF-BI-10002609,Office Supplies,39,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788
103,81329603,1/6/2019,1/8/2019,January,Fall,Second Class,GZ-14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,55901,Central,OFF-PA-10004040,Office Supplies,43,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92
104,45203519,6/19/2019,6/21/2019,June,Fall,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,TEC-AC-10001552,Technology,39,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896
105,90568274,9/28/2016,9/30/2016,September,Fall,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,FUR-FU-10004006,Furniture,11,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36
106,32475426,7/18/2019,7/20/2019,July,Spring,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,OFF-BI-10002794,Office Supplies,37,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882
107,66622489,12/29/2018,12/31/2018,December,Fall,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,TEC-AC-10003499,Technology,6,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112
108,94159096,2/15/2018,2/17/2018,February,Summer,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,TEC-PH-10002844,Technology,12,Phones,Speck Products Candyshell Flip Case,27.992
109,22261071,8/12/2019,8/14/2019,August,Fall,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,OFF-AR-10000390,Office Supplies,14,Art,Newell Chalk Holder,3.304
110,81466554,4/14/2018,4/16/2018,April,Fall,Standard Class,PA-19060,Pete Armstrong,Home Office,United States,Orland Park,Illinois,60462,Central,TEC-AC-10000844,Technology,24,Accessories,Logitech Gaming G510s - Keyboard,339.96
111,96607262,9/16/2019,9/18/2019,September,Fall,Standard Class,CV-12805,Cynthia Voltz,Corporate,United States,New York City,New York,10035,East,FUR-FU-10001934,Furniture,28,Furnishings,Magnifier Swing Arm Lamp,41.96
112,78640191,8/31/2019,9/2/2019,September,Fall,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central,OFF-AR-10000380,Office Supplies,22,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96
113,19351365,2/20/2016,2/22/2016,February,Fall,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central,OFF-BI-10003981,Office Supplies,1,Binders,"Avery Durable Plastic 1"" Binders",27.24
114,91472813,8/22/2016,8/24/2016,August,Summer,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,OFF-FA-10000621,Office Supplies,24,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096
